"seed","nind","size","seq","od","bias","maf","oaf","rho","ploidy","delta","pAB","pAb","paB","pab","updog_rho","polyrad_rho","uniform_rho","horse_rho"
75,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.912648514333801,0.912427578459938,0.9015128982818,0.900617426476258
62,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.78130621950674,0.772725712319474,0.502958149607402,0.422254899309285
112,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.850787092813295,0.850611165679261,0.835920347417514,0.829879010922257
125,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.900461116890874,0.90015700112035,0.887650794184556,0.885815213754836
117,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.940276834158732,0.703668188756003
174,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.900108072635683,0.891185900218493,0.59029287940151,0.477087960810079
64,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.915638890427463,0.915520122161359,0.902092152623275,0.900194578698855
39,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.874008987136068,0.873354311024192,0.864465715415749,0.854674258491103
24,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.97677131136101,0.971400371196291,0.809036878978359,0.725634528261536
59,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.917880153325907,0.896089938767181
189,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.901654384530715,0.901294728678051,0.889112406240571,0.887608750705293
185,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.932883074685596,0.92373522432974,0.61209874566078,0.489177691404291
80,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.884142470742344,0.875478999279774,0.577635198251349,0.453596608220665
130,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.889347963588698,0.880437759240593,0.58267159582,0.472961312560704
182,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.901909214144113,0.901569031165102,0.888636869505486,0.886705552744975
